CLIP-I 结果
==================================================

文件夹: Figma
平均CLIP-I: 0.7565 ± 0.0765
范围: 0.5229 - 0.8999
有效图像对: 81

各图像对CLIP-I:
1: 0.7378
2: 0.6060
3: 0.7202
5: 0.7852
6: 0.7222
7: 0.8599
8: 0.7534
9: 0.6626
10: 0.8130
11: 0.8398
12: 0.6235
13: 0.6553
14: 0.7861
15: 0.6426
16: 0.7788
17: 0.8315
18: 0.7925
19: 0.8662
20: 0.7192
21: 0.8506
22: 0.7520
23: 0.7124
24: 0.6245
25: 0.7544
26: 0.7002
27: 0.8018
28: 0.8345
29: 0.8179
30: 0.8203
31: 0.7339
32: 0.6685
33: 0.6558
34: 0.5229
35: 0.7480
36: 0.6250
37: 0.7153
38: 0.8613
39: 0.7988
40: 0.8125
41: 0.7158
42: 0.7178
43: 0.7642
44: 0.8408
45: 0.8159
46: 0.8999
47: 0.7437
48: 0.7334
49: 0.7354
50: 0.7031
51: 0.8398
52: 0.6724
53: 0.8013
54: 0.8452
55: 0.7842
56: 0.6943
57: 0.8145
58: 0.8325
59: 0.6626
60: 0.7539
61: 0.8682
62: 0.7593
63: 0.7188
64: 0.7539
65: 0.7339
66: 0.8818
67: 0.8198
68: 0.7202
69: 0.7607
70: 0.8027
71: 0.8174
72: 0.8291
73: 0.6655
74: 0.7500
76: 0.7764
77: 0.8418
78: 0.7993
79: 0.7607
80: 0.7559
81: 0.7524
82: 0.7949
83: 0.5337

--------------------------------------------------

文件夹: Screenshot
平均CLIP-I: 0.7502 ± 0.1110
范围: 0.3984 - 0.9536
有效图像对: 83

各图像对CLIP-I:
1: 0.6519
2: 0.8120
3: 0.8320
4: 0.7646
5: 0.4917
6: 0.7080
7: 0.8384
8: 0.7788
9: 0.6748
10: 0.8047
11: 0.8228
12: 0.6343
13: 0.6270
14: 0.6621
15: 0.7207
16: 0.3984
17: 0.8208
18: 0.8667
19: 0.9219
20: 0.6699
21: 0.9116
22: 0.6450
23: 0.6450
24: 0.7188
25: 0.5903
26: 0.6880
27: 0.6943
28: 0.7905
29: 0.8281
30: 0.7651
31: 0.7275
32: 0.8364
33: 0.8511
34: 0.6152
35: 0.8057
36: 0.6191
37: 0.7358
38: 0.9077
39: 0.8472
40: 0.8672
41: 0.8154
42: 0.7822
43: 0.7749
44: 0.9189
45: 0.7769
46: 0.7817
47: 0.7393
48: 0.8716
49: 0.6680
50: 0.5449
51: 0.7119
52: 0.6890
53: 0.7539
54: 0.8691
55: 0.6313
56: 0.6616
57: 0.9370
58: 0.8096
59: 0.6909
60: 0.5757
61: 0.8911
62: 0.8086
63: 0.7207
64: 0.6802
65: 0.6157
66: 0.9253
67: 0.8574
68: 0.7515
69: 0.6616
70: 0.8149
71: 0.8145
72: 0.5474
73: 0.6826
74: 0.9536
75: 0.8423
76: 0.6211
77: 0.9531
78: 0.8179
79: 0.6680
80: 0.8232
81: 0.6802
82: 0.8301
83: 0.7109

--------------------------------------------------

